Date,Service,log.dd.version,@log.total_tokens,@log.invoke_chain_time_in_seconds,Message
2024-04-15T08:02:17.914Z,"""cape-core""","""1.755.0""",3900,1.7889506816864000,Producing a GREY evaluation for 88d457ad-ad40-4fea-bfa0-49c59a136c11
2024-04-15T08:02:16.137Z,"""cape-core""","""1.755.0""",5145,1.6434204578399700,Producing a BNGN evaluation for b92b6af6-9e14-48dc-8efc-4022383b15ae
2024-04-15T08:00:13.227Z,"""cape-core""","""1.755.0""",1209,1.0059154033660900,Producing a PHSH evaluation for 9177d6a5-5c8f-42b4-8e53-4199870ee099
2024-04-15T07:57:32.104Z,"""cape-core""","""1.755.0""",1457,1.0653538703918500,Producing a GREY evaluation for 05f7dcca-3e88-4f6a-b16e-45b577601293
2024-04-15T07:53:44.841Z,"""cape-core""","""1.755.0""",434,0.8957867622375490,Producing a SPAM evaluation for 50bc0f4f-443e-4e4c-a753-479eadd8f691
2024-04-15T07:51:46.092Z,"""cape-core""","""1.755.0""",3909,1.3595428466796900,Producing a GREY evaluation for 0b037447-8f40-4c6e-ae19-4c2eafc60b67
2024-04-15T07:49:42.402Z,"""cape-core""","""1.755.0""",620,1.3507020473480200,Producing a BEC evaluation for 2178abd2-75ea-45b8-8878-4b372fb4613b
2024-04-15T07:49:30.999Z,"""cape-core""","""1.755.0""",620,1.0413169860839800,Producing a BEC evaluation for c9e99c01-e951-42ca-8dd5-42dbbfdf2490
2024-04-15T07:47:59.653Z,"""cape-core""","""1.755.0""",549,1.2553188800811800,Producing a BNGN evaluation for fe52bdf9-686d-45cb-add8-4d6c297db5e8
2024-04-15T07:46:12.260Z,"""cape-core""","""1.755.0""",357,0.9700443744659420,Producing a PHSH evaluation for b9d1f29a-c33e-407c-858a-4dd51baf53cd
2024-04-15T07:45:18.456Z,"""cape-core""","""1.755.0""",289,2.7217674255371100,Producing a SPAM evaluation for fb5da742-868f-41da-b16f-4808353f6ba7
